STATE/UT, ROBBERY,RIOTS,ARSON,DOWRY DEATH
ANDHRA PRADESH, 600, 2210, 1021, 599
ARUNACHAL PRADESH, 64, 49, 34, 0
ASSAM, 837, 2328, 506, 121
BIHAR, 1381, 9768, 705, 1413
CHHATTISGARH, 470, 934, 289, 104
GOA ,26, 74, 24, 1
GUJARAT, 1368, 1615, 263, 30
HARYANA, 638, 1466, 166, 255
HIMACHAL PRADESH, 10, 530, 110, 4
JAMMU & KASHMIR, 88, 1405, 205, 11
JHARKHAND, 614, 2133, 138, 282
KARNATAKA, 2123, 7265, 231, 267
KERALA, 741, 10754, 450, 15
MADHYA PRADESH, 1952, 2080, 784, 811
MAHARASHTRA, 4249, 8556, 1255, 339
MANIPUR, 7, 70, 99, 1
MEGHALAYA, 63, 8, 34, 1
MIZORAM, 6, 0, 19, 0
NAGALAND ,59 ,1 ,2 ,0 
ODISHA ,1583, 1556, 423, 465
PUNJAB ,236, 0, 83 ,143
RAJASTHAN, 727, 751, 473, 514
SIKKIM, 5, 25, 4, 0 
TAMIL NADU, 2066, 3009, 706, 152 
TRIPURA ,50, 175, 58, 30
UTTAR PRADESH, 3148, 5022, 477, 2322
UTTARAKHAND ,179, 401, 17, 83
WEST BENGAL ,760, 6019, 413, 510
A & N ISLANDS, 1, 11, 6, 0
CHANDIGARH, 68, 66, 9, 2
D & N HAVELI, 2, 20, 5, 0
DAMAN & DIU ,6, 19, 0, 0
DELHI ,562 ,50 ,42 ,142
LAKSHADWEEP, 0 ,5 ,3 ,0
PUDUCHERRY, 11, 125, 10, 1
