STATE/UT,2015,2016,2017,2018,
ANDHRA PRADESH,435.36,423.27,411.18,399.09,
ARUNACHAL PRADESH,0.55,0.59,0.64,0.68,
ASSAM,189.89,199.65,209.4,219.15,
BIHAR,1392.47,1421.4,1450.33,1479.25,
CHHATTISGARH,118.93,121.4,123.87,126.35,
GOA,0.04,-0.15,-0.35,-0.54,
GUJARAT,13.55,10.18,6.82,3.45,
HARYANA,286.29,289.72,293.15,296.57,
HIMACHAL PRADESH,0.09,-0.41,-0.91,-1.41,
JAMMU & KASHMIR,8.22,7.98,7.75,7.51,
JHARKHAND,323.42,328.93,334.44,339.95,
KARNATAKA,275.2,277.72,280.24,282.75,
KERALA,23.35,23.1,22.85,22.61,
MADHYA PRADESH,795.09,797.09,799.09,801.09,
MAHARASHTRA,317.69,312.02,306.35,300.67,
MANIPUR,0.6,0.65,0.71,0.76,
MEGHALAYA,0.55,0.36,0.18,0,
MIZORAM,-0.51,-0.65,-0.8,-0.95,
NAGALAND,0.31,0.35,0.38,0.42,
ORISSA,472.89,482.46,492.04,501.61,
PUNJAB,119,118.73,118.45,118.18,
RAJASTHAN,484.16,492.69,501.22,509.75,
SIKKIM,0.4,0.44,0.47,0.51,
TAMIL NADU,92.93,79.99,67.05,54.12,
TRIPURA,32.07,32.51,32.95,33.38,
UTTAR PRADESH,2583.76,2662.85,2741.93,2821.01,
UTTARANCHAL,53.87,51.15,48.44,45.72,
WEST BENGAL,550.62,562.28,573.95,585.61,
A & N ISLANDS,2.05,2.25,2.44,2.63,
CHANDIGARH,1.51,1.15,0.8,0.45,
D & N HAVELI,-0.07,-0.1,-0.13,-0.15,
DAMAN & DIU,-0.15,-0.2,-0.25,-0.31,
DELHI,151.07,153.51,155.95,158.38,
LAKSHADWEEP,0,0,0,0,
PONDICHERRY,-0.76,-1.21,-1.65,-2.1,
