STATE/UT,2015,2016,2017,2018,
ANDHRA PRADESH,548.78,537.06,525.35,513.63,
ARUNACHAL PRADESH,67.89,68.01,68.13,68.25,
ASSAM,1041.98,1100.33,1158.67,1217.02,
BIHAR,1043.89,917.37,790.85,664.34,
CHHATTISGARH,446.75,447.35,447.96,448.57,
GOA,35.4,36.8,38.2,39.6,
GUJARAT,1461.16,1497.65,1534.13,1570.61,
HARYANA,917.96,972.47,1026.98,1081.49,
HIMACHAL PRADESH,9.05,7.52,5.98,4.45,
JAMMU & KASHMIR,66.67,62.48,58.29,54.1,
JHARKHAND,509.62,480.78,451.95,423.11,
KARNATAKA,2612.82,2756.27,2899.73,3043.18,
KERALA,827.44,840.78,854.13,867.47,
MADHYA PRADESH,2092.95,2124.44,2155.93,2187.42,
MAHARASHTRA,9076.25,9824.42,10572.58,11320.75,
MANIPUR,4.11,3.85,3.6,3.35,
MEGHALAYA,66.24,65.61,64.98,64.35,
MIZORAM,5.56,5.4,5.24,5.07,
NAGALAND,36.27,30.23,24.18,18.14,
ORISSA,1902.25,1985.46,2068.67,2151.88,
PUNJAB,219.47,229.13,238.78,248.44,
RAJASTHAN,1133.13,1183.21,1233.29,1283.37,
SIKKIM,8.56,8.9,9.24,9.57,
TAMIL NADU,2498.65,2709.22,2919.78,3130.35,
TRIPURA,51.96,50.38,48.8,47.22,
UTTAR PRADESH,3706.69,3875.61,4044.53,4213.45,
UTTARANCHAL,151.75,150.45,149.15,147.85,
WEST BENGAL,789.55,818.32,847.09,875.86,
A & N ISLANDS,2.69,2.25,1.8,1.35,
CHANDIGARH,79.71,85.96,92.22,98.47,
D & N HAVELI,1.22,1.07,0.93,0.78,
DAMAN & DIU,4.31,4.62,4.93,5.24,
DELHI,2957.95,3259.98,3562.02,3864.05,
LAKSHADWEEP,0,0,0,0,
PONDICHERRY,12.27,13.05,13.82,14.59,
